+0.12555880-0.00000000i, -0.10722550-0.02574372i, +0.01662564+0.01291049i, +0.04886681+0.03429047i, -0.03864185+0.02070784i, -0.02132792+0.07230022i, +0.00024894-0.00026893i, +0.06959528+0.03422431i, -0.04538691-0.04187490i, -0.05442319+0.01564196i, -0.02483568-0.00315855i, +0.01230361+0.04872247i, +0.04132180+0.05003978i, +0.00979749-0.03149331i, -0.02081745-0.01858150i, -0.01734115+0.08470928i, -0.05564634-0.03848793i, -0.00499932-0.06388834i, -0.02923483+0.07858990i, -0.02430586+0.06279623i, +0.05558899+0.02462536i, +0.03331832+0.01228263i, -0.02210739-0.02659359i, +0.02021736+0.03946702i, -0.00919140+0.02940142i, +0.00201413+0.04619549i, +0.10006167+0.04003138i, +0.00897351+0.02559298i, -0.00183989-0.05123999i, -0.02300677-0.00806469i, -0.00437234+0.04461039i, +0.08281355-0.01959017i
-0.05564634+0.03848793i, +0.05541252-0.02145882i, -0.01132580-0.00062549i, -0.03216842-0.00021788i, +0.01077802-0.02102250i, -0.01271010-0.03858041i, -0.00002789+0.00019550i, -0.04133478+0.00616540i, +0.03295105+0.00464593i, +0.01932501-0.02361486i, +0.01197511-0.00621312i, -0.02038788-0.01782182i, -0.03365223-0.00951060i, +0.00531159+0.01696076i, +0.01492192+0.00185389i, -0.01828078-0.04285790i, +0.03645970+0.00000000i, +0.02179953+0.02678218i, -0.01113384-0.04379166i, -0.00847702-0.03528118i, -0.03218494+0.00612616i, -0.01853136+0.00476964i, +0.01794958+0.00500935i, -0.02105807-0.01129408i, -0.00493897-0.01584787i, -0.01505309-0.01985596i, -0.05661722+0.01293073i, -0.01182206-0.00859186i, +0.01652217+0.02214504i, +0.01266845-0.00347815i, -0.01173678-0.02111112i, -0.03069706+0.03406725i
-0.00499932+0.06388834i, +0.01736858-0.05353474i, -0.00723125+0.00794561i, -0.01939380+0.02349967i, -0.00899823-0.02048672i, -0.03593946-0.01373107i, +0.00012693+0.00013737i, -0.02018547+0.03404961i, +0.02311444-0.02142700i, -0.00579219-0.02831507i, +0.00259604-0.01251143i, -0.02528144+0.00432051i, -0.02710713+0.01903344i, +0.01563470+0.00623923i, +0.01028374-0.00985274i, -0.04241233-0.01219656i, +0.02179953-0.02678218i, +0.03270749+0.00000000i, -0.03882503-0.01800479i, -0.03098496-0.01486793i, -0.01474353+0.02730496i, -0.00757641+0.01646438i, +0.01441191-0.01019008i, -0.02088707+0.00871580i, -0.01459441-0.00584754i, -0.02358594-0.00081449i, -0.02435336+0.04932067i, -0.01337982+0.00354698i, +0.02614580+0.00110401i, +0.00501962-0.01138547i, -0.02252510-0.00400102i, +0.00667076+0.04291820i
-0.02923483-0.07858990i, +0.00885261+0.07310881i, +0.00420987-0.01341239i, +0.01008509-0.03857088i, +0.02195876+0.01936518i, +0.05022018-0.00348462i, -0.00022629-0.00009320i, +0.00521731-0.05152986i, -0.01564260+0.03815868i, +0.02246241+0.03042258i, +0.00380568+0.01628061i, +0.02763167-0.01904552i, +0.02169968-0.03751533i, -0.02199355+0.00120037i, -0.00678346+0.01735656i, +0.05705900-0.00886933i, -0.01113384+0.04379166i, -0.03882503+0.01800479i, +0.05599804-0.00000000i, +0.04496480+0.00059222i, +0.00247032-0.04052803i, -0.00006981-0.02371450i, -0.01149805+0.02002947i, +0.01999588-0.02184388i, +0.02054307-0.00109267i, +0.02844576-0.01201674i, +0.00175835-0.07195152i, +0.01392981-0.01157572i, -0.03164379+0.01308223i, +0.00030898+0.01627819i, +0.02894063-0.00765024i, -0.03154402-0.04727341i
-0.02430586-0.06279623i, +0.00788157+0.05861063i, +0.00323856-0.01081428i, +0.00769012-0.03107796i, +0.01783704+0.01531745i, +0.04028849-0.00332917i, -0.00018269-0.00007244i, +0.00364438-0.04143216i, -0.01215700+0.03080575i, +0.01835840+0.02419090i, +0.00322803+0.01303261i, +0.02198601-0.01558522i, +0.01702746-0.03035321i, -0.01764749+0.00119646i, -0.00526337+0.01400855i, +0.04572292-0.00772525i, -0.00847702+0.03528118i, -0.03098496+0.01486793i, +0.04496480-0.00059222i, +0.03611170+0.00000000i, +0.00155498-0.03256896i, -0.00030685-0.01904132i, -0.00902078+0.01620469i, +0.01582509-0.01775147i, +0.01648393-0.00109464i, +0.02271404-0.00994993i, +0.00065096-0.05779358i, +0.01106281-0.00944228i, -0.02527069+0.01083930i, +0.00042026+0.01306764i, +0.02315758-0.00644899i, -0.02582888-0.03762558i
+0.05558899-0.02462536i, -0.05252125+0.00963213i, +0.00989280+0.00245518i, +0.02836019+0.00559746i, -0.01304666+0.01674672i, +0.00473739+0.03619264i, +0.00005747-0.00016789i, +0.03752439+0.00150277i, -0.02830703-0.00963783i, -0.02102713+0.01759902i, -0.01161504+0.00347253i, +0.01500296+0.01915797i, +0.02810862+0.01404996i, -0.00183899-0.01586466i, -0.01286088-0.00414379i, +0.00893621+0.04090462i, -0.03218494-0.00612616i, -0.01474353-0.02730496i, +0.00247032+0.04052803i, +0.00155498+0.03256896i, +0.02944074+0.00000000i, +0.01716006-0.00109667i, -0.01500336-0.00743802i, +0.01669140+0.01350819i, +0.00169705+0.01481964i, +0.00995186+0.02005723i, +0.05215177-0.00190150i, +0.00899232+0.00957091i, -0.01086408-0.02232477i, -0.01176755+0.00094173i, +0.00681348+0.02060801i, +0.03282212-0.02491511i
+0.03331832-0.01228263i, -0.03097174+0.00365784i, +0.00567474+0.00179955i, +0.01632173+0.00431900i, -0.00822829+0.00927513i, +0.00141309+0.02127199i, +0.00003975-0.00009572i, +0.02181577+0.00227371i, -0.01614024-0.00667202i, -0.01291160+0.00947463i, -0.00689939+0.00159137i, +0.00803110+0.01172542i, +0.01586024+0.00923632i, -0.00048093-0.00931550i, -0.00734184-0.00289435i, +0.00368492+0.02417486i, -0.01853136-0.00476964i, -0.00757641-0.01646438i, -0.00006981+0.02371450i, -0.00030685+0.01904132i, +0.01716006+0.00109667i, +0.01004289+0.00000000i, -0.00846791-0.00489426i, +0.00922569+0.00849524i, +0.00043712+0.00870111i, +0.00505348+0.01206142i, +0.03046841+0.00083434i, +0.00488481+0.00591354i, -0.00550072-0.01341707i, -0.00689400+0.00011056i, +0.00320371+0.01226555i, +0.02005904-0.01329958i
-0.02210739+0.02659359i, +0.02433198-0.01817781i, -0.00566178+0.00124816i, -0.01586686+0.00431249i, +0.00241779-0.01183049i, -0.01155807-0.01724734i, +0.00001313+0.00010008i, -0.01950255+0.00871447i, +0.01686055-0.00224003i, +0.00626940-0.01428105i, +0.00504185-0.00470411i, -0.01248583-0.00597274i, -0.01787413-0.00005857i, +0.00494528+0.00762022i, +0.00760097-0.00113749i, -0.01488829-0.01858782i, +0.01794958-0.00500935i, +0.01441191+0.01019008i, -0.01149805-0.02002947i, -0.00902078-0.01620469i, -0.01500336+0.00743802i, -0.00846791+0.00489426i, +0.00952506-0.00000000i, -0.01191890-0.00266696i, -0.00460893-0.00712352i, -0.01013892-0.00770714i, -0.02609678+0.01414484i, -0.00700062-0.00260560i, +0.01117668+0.00863224i, +0.00575897-0.00345291i, -0.00867872-0.00878071i, -0.01043191+0.02098934i
+0.02021736-0.03946702i, -0.02535740+0.02955907i, +0.00673521-0.00314712i, +0.01864705-0.00983893i, +0.00028704+0.01548069i, +0.01929200+0.01834574i, -0.00004445-0.00012155i, +0.02196393-0.01636519i, -0.02047074+0.00752386i, -0.00384642+0.01962555i, -0.00499185+0.00729804i, +0.01729610+0.00397784i, +0.02238265-0.00493136i, -0.00832174-0.00815068i, -0.00919275+0.00355160i, +0.02383450+0.01909067i, -0.02105807+0.01129408i, -0.02088707-0.00871580i, +0.01999588+0.02184388i, +0.01582509+0.01775147i, +0.01669140-0.01350819i, +0.00922569-0.00849524i, -0.01191890+0.00266696i, +0.01566109+0.00000000i, +0.00776179+0.00762333i, +0.01484499+0.00680525i, +0.02869494-0.02500667i, +0.00948957+0.00130031i, -0.01640257-0.00767228i, -0.00623951+0.00593317i, +0.01331840+0.00855749i, +0.00717676-0.02918525i
-0.00919140-0.02940142i, +0.00182107+0.02699295i, +0.00180612-0.00483823i, +0.00445237-0.01395307i, +0.00767778+0.00753265i, +0.01849144-0.00029842i, -0.00008120-0.00003861i, +0.00291947-0.01880210i, -0.00648312+0.01369341i, +0.00764679+0.01159893i, +0.00107845+0.00604685i, +0.01050840-0.00644775i, +0.00869262-0.01333921i, -0.00809183+0.00001121i, -0.00282721+0.00623495i, +0.02110535-0.00214037i, -0.00493897+0.01584787i, -0.01459441+0.00584754i, +0.02054307+0.00109267i, +0.01648393+0.00109464i, +0.00169705-0.01481964i, +0.00043712-0.00870111i, -0.00460893+0.00712352i, +0.00776179-0.00762333i, +0.00755762-0.00000000i, +0.01066990-0.00385333i, +0.00204902-0.02636135i, +0.00533607-0.00397478i, -0.01186390+0.00418181i, -0.00020428+0.00597774i, +0.01076624-0.00224181i, -0.01064960-0.01795792i
+0.00201413-0.04619549i, -0.01119165+0.03903735i, +0.00501672-0.00590979i, +0.01340001-0.01742897i, +0.00699895+0.01454926i, +0.02625851+0.00900674i, -0.00009495-0.00009590i, +0.01370818-0.02505643i, -0.01613465+0.01602699i, +0.00488196+0.02027425i, -0.00156049+0.00908686i, +0.01812330-0.00374516i, +0.01907345-0.01440038i, -0.01142983-0.00410988i, -0.00717043+0.00736107i, +0.03088799+0.00773899i, -0.01505309+0.01985596i, -0.02358594+0.00081449i, +0.02844576+0.01201674i, +0.02271404+0.00994993i, +0.00995186-0.02005723i, +0.00505348-0.01206142i, -0.01013892+0.00770714i, +0.01484499-0.00680525i, +0.01066990+0.00385333i, +0.01702851+0.00000000i, +0.01633343-0.03617245i, +0.00956009-0.00289098i, -0.01888169-0.00014503i, -0.00333621+0.00833526i, +0.01634288+0.00232428i, -0.00587916-0.03078294i
+0.10006167-0.04003138i, -0.09365906+0.01367029i, +0.01736568+0.00498809i, +0.04987615+0.01174713i, -0.02419268+0.02882273i, +0.00605430+0.06441816i, +0.00011264-0.00029369i, +0.06637421+0.00508564i, -0.04952102-0.01890088i, -0.03838446+0.02981708i, -0.02079935+0.00540111i, +0.02533910+0.03490573i, +0.04888458+0.02670378i, -0.00223295-0.02822168i, -0.02251433-0.00817103i, +0.01318781+0.07303624i, -0.05661722-0.01293073i, -0.02435336-0.04932067i, +0.00175835+0.07195152i, +0.00065096+0.05779358i, +0.05215177+0.00190150i, +0.03046841-0.00083434i, -0.02609678-0.01414484i, +0.02869494+0.02500667i, +0.00204902+0.02636135i, +0.01633343+0.03617245i, +0.09250526-0.00000000i, +0.01531097+0.01753485i, -0.01780289-0.04024812i, -0.02090603+0.00090815i, +0.01073849+0.03694541i, +0.05975081-0.04201510i
+0.00897351-0.02559298i, -0.01291066+0.02001619i, +0.00381979-0.00246615i, +0.01048196-0.00750996i, +0.00145926+0.00935643i, +0.01321287+0.00951452i, -0.00003703-0.00006996i, +0.01194991-0.01173983i, -0.01177921+0.00625859i, -0.00070121+0.01221113i, -0.00241879+0.00483659i, +0.01081055+0.00097425i, +0.01315295-0.00484646i, -0.00571915-0.00424783i, -0.00527531+0.00291528i, +0.01602717+0.00958874i, -0.01182206+0.00859186i, -0.01337982-0.00354698i, +0.01392981+0.01157572i, +0.01106281+0.00944228i, +0.00899232-0.00957091i, +0.00488481-0.00591354i, -0.00700062+0.00260560i, +0.00948957-0.00130031i, +0.00533607+0.00397478i, +0.00956009+0.00289098i, +0.01531097-0.01753485i, +0.00585801-0.00000000i, -0.01057587-0.00328702i, -0.00328811+0.00411316i, +0.00878057+0.00407947i, +0.00192545-0.01828018i
-0.00183989+0.05123999i, +0.01207714-0.04338101i, -0.00551234+0.00659566i, -0.01470986+0.01943985i, -0.00788454-0.01607301i, -0.02919287-0.00976329i, +0.00010610+0.00010553i, -0.01498661+0.02790001i, +0.01775404-0.01790858i, -0.00558592-0.02243907i, +0.00165292-0.01008905i, -0.02006371+0.00430709i, -0.02102652+0.01612998i, +0.01270871+0.00445980i, +0.00788808-0.00822322i, -0.03431537-0.00831814i, +0.01652217-0.02214504i, +0.02614580-0.00110401i, -0.03164379-0.01308223i, -0.02527069-0.01083930i, -0.01086408+0.02232477i, -0.00550072+0.01341707i, +0.01117668-0.00863224i, -0.01640257+0.00767228i, -0.01186390-0.00418181i, -0.01888169+0.00014503i, -0.01780289+0.04024812i, -0.01057587+0.00328702i, +0.02093777+0.00000000i, +0.00362830-0.00927078i, -0.01814123-0.00243804i, +0.00678114+0.03408290i
-0.02300677+0.00806469i, +0.02130100-0.00216998i, -0.00387565-0.00129778i, -0.01115660-0.00314448i, +0.00575047-0.00627638i, -0.00073585-0.01461783i, -0.00002834+0.00006527i, -0.01495053-0.00180096i, +0.01100611+0.00475773i, +0.00896755-0.00636178i, +0.00475364-0.00101645i, -0.00538391-0.00813740i, -0.01078567-0.00651492i, +0.00022758+0.00639997i, +0.00500798+0.00206767i, -0.00226340-0.01663554i, +0.01266845+0.00347815i, +0.00501962+0.01138547i, +0.00030898-0.01627819i, +0.00042026-0.01306764i, -0.01176755-0.00094173i, -0.00689400-0.00011056i, +0.00575897+0.00345291i, -0.00623951-0.00593317i, -0.00020428-0.00597774i, -0.00333621-0.00833526i, -0.02090603-0.00090815i, -0.00328811-0.00411316i, +0.00362830+0.00927078i, +0.00473364-0.00000000i, -0.00206418-0.00845502i, -0.01391606+0.00890875i
-0.00437234-0.04461039i, -0.00541269+0.03899314i, +0.00400808-0.00635659i, +0.01048153-0.01855622i, +0.00870302+0.01300814i, +0.02643060+0.00505998i, -0.00010422-0.00007908i, +0.00973620-0.02591864i, -0.01329742+0.01758395i, +0.00745269+0.01879158i, -0.00025736+0.00893398i, +0.01688239-0.00606807i, +0.01633992-0.01642396i, -0.01153059-0.00238430i, -0.00587698+0.00804340i, +0.03070064+0.00321138i, -0.01173678+0.02111112i, -0.02252510+0.00400102i, +0.02894063+0.00765024i, +0.02315758+0.00644899i, +0.00681348-0.02060801i, +0.00320371-0.01226555i, -0.00867872+0.00878071i, +0.01331840-0.00855749i, +0.01076624+0.00224181i, +0.01634288-0.00232428i, +0.01073849-0.03694541i, +0.00878057-0.00407947i, -0.01814123+0.00243804i, -0.00206418+0.00845502i, +0.01600210+0.00000000i, -0.00984411-0.02874103i
+0.08281355+0.01959017i, -0.06670500-0.03370926i, +0.00895126+0.01110924i, +0.02688046+0.03024101i, -0.02871753+0.00762901i, -0.02534760+0.04435866i, +0.00020615-0.00013854i, +0.04056244+0.03343151i, -0.02340190-0.03470045i, -0.03833587+0.00182549i, -0.01588781-0.00595821i, +0.00051310+0.03405504i, +0.01944680+0.03945141i, +0.01137574-0.01924308i, -0.01083120-0.01550363i, -0.02465419+0.05316521i, -0.03069706-0.03406725i, +0.00667076-0.04291820i, -0.03154402+0.04727341i, -0.02582888+0.03762558i, +0.03282212+0.02491511i, +0.02005904+0.01329958i, -0.01043191-0.02098934i, +0.00717676+0.02918525i, -0.01064960+0.01795792i, -0.00587916+0.03078294i, +0.05975081+0.04201510i, +0.00192545+0.01828018i, +0.00678114-0.03408290i, -0.01391606-0.00890875i, -0.00984411+0.02874103i, +0.05767702-0.00000000i
