+0.02030277+0.00000000i, -0.01522951+0.00461290i, -0.01535972+0.03679300i, -0.01490661+0.02605442i, -0.00151807+0.01131099i, -0.01269816+0.01136305i, +0.02505438-0.00896137i, +0.01660703-0.00513437i, -0.00252427-0.00823611i, -0.03315918+0.01371154i, +0.01819795+0.01024346i, -0.00019998+0.04471610i, -0.00066381-0.00851836i, +0.01045275+0.02685087i, +0.00485445-0.00886400i, -0.01675306-0.01461481i, -0.00988597-0.01324519i, -0.02364094-0.00728904i, +0.01214100-0.02343733i, -0.01307465+0.01106151i, -0.02656634-0.00661746i, -0.01597880+0.02408255i, +0.00326074-0.00145900i, +0.00283558-0.00341544i, +0.02222524-0.01806064i, -0.01033094+0.01181770i, +0.00167674+0.01801375i, -0.02448750-0.00997118i, -0.04179847-0.01687845i, -0.02360101-0.00006820i, +0.03889985+0.01723593i, +0.02081400+0.00095404i
-0.00988597+0.01324519i, +0.00440628-0.01218163i, -0.01652408-0.02793594i, -0.00973904-0.02241143i, -0.00663992-0.00649799i, -0.00122999-0.01381705i, -0.00635341+0.02070860i, -0.00473684+0.01333422i, +0.00660224+0.00236359i, +0.00720092-0.02830902i, -0.01554374+0.00688422i, -0.02907467-0.02190395i, +0.00588046+0.00371476i, -0.02260679-0.00625521i, +0.00341896+0.00748309i, +0.01769198-0.00381307i, +0.01345469+0.00000000i, +0.01626667-0.01187373i, +0.00937835+0.01933286i, -0.00084994-0.01391583i, +0.01725300-0.01410922i, -0.00793055-0.02215075i, -0.00063592+0.00283768i, +0.00084745+0.00351296i, +0.00096039+0.02329360i, -0.00267926-0.01249409i, -0.01256832-0.00767751i, +0.01842866-0.01112001i, +0.03136403-0.01905006i, +0.01153646-0.01536370i, -0.03018583+0.01698498i, -0.01075730+0.01311416i
-0.02364094+0.00728904i, +0.01607743-0.01083901i, +0.00467584-0.04835689i, +0.00800356-0.03569001i, -0.00229317-0.01371575i, +0.01070646-0.01779021i, -0.02595653+0.01942975i, -0.01749422+0.01194077i, +0.00589622+0.00868403i, +0.03368851-0.02787070i, -0.02486762-0.00539431i, -0.01582099-0.05214009i, +0.00383118+0.00968062i, -0.02181131-0.02751296i, -0.00247029+0.01206425i, +0.02475455+0.01100313i, +0.01626667+0.01187373i, +0.03014487+0.00000000i, -0.00572281+0.03164971i, +0.01125310-0.01757426i, +0.03331015-0.00183227i, +0.00995997-0.03377885i, -0.00327307+0.00286955i, -0.00207561+0.00499503i, -0.01939542+0.02900941i, +0.00778679-0.01746975i, -0.00841967-0.02037358i, +0.03209355+0.00281920i, +0.05473060+0.00464723i, +0.02750596-0.00839376i, -0.05148374-0.00610414i, -0.02457874+0.00636168i
+0.01214100+0.02343733i, -0.01443229-0.01482231i, -0.05165857+0.00427098i, -0.03899110-0.00162758i, -0.01396511+0.00501150i, -0.02071086-0.00786357i, +0.02532737+0.02356368i, +0.01585803+0.01610067i, +0.00799819-0.00783917i, -0.03565757-0.03007919i, -0.00094264+0.02713311i, -0.05173944+0.02650924i, +0.00943656-0.00586024i, -0.02474568+0.02812331i, +0.01313547+0.00030329i, +0.00685292-0.02807919i, +0.00937835-0.01933286i, -0.00572281-0.03164971i, +0.03431613+0.00000000i, -0.02058790-0.00847850i, -0.00824746-0.03462517i, -0.03735595-0.00404448i, +0.00363417+0.00289170i, +0.00563843+0.00123095i, +0.03413968+0.01485640i, -0.01982012-0.00485899i, -0.01979222+0.01270778i, -0.00313282-0.03423089i, -0.00551104-0.05834503i, -0.01403461-0.02728557i, +0.00336500+0.05521267i, +0.01134538+0.02459800i
-0.01307465-0.01106151i, +0.01232079+0.00532682i, +0.02993724-0.01532568i, +0.02379477-0.00865709i, +0.00714015-0.00645701i, +0.01436831-0.00039931i, -0.02101701-0.00787934i, -0.01349200-0.00574152i, -0.00286167+0.00667921i, +0.02882438+0.00923603i, -0.00613826-0.01651136i, +0.02449134-0.02868747i, -0.00421356+0.00584734i, +0.00789769-0.02298646i, -0.00795554+0.00306343i, +0.00282615+0.01853922i, -0.00084994+0.01391583i, +0.01125310+0.01757426i, -0.02058790+0.00847850i, +0.01444647+0.00000000i, +0.01350291+0.01873561i, +0.02341091-0.00680307i, -0.00289476-0.00083697i, -0.00368690+0.00065458i, -0.02415262-0.00047817i, +0.01309156-0.00198183i, +0.00873459-0.01251409i, +0.01033698+0.01976274i, +0.01772168+0.03364239i, +0.01516150+0.01290240i, -0.01566025-0.03229336i, -0.01288408-0.01195442i
-0.02656634+0.00661746i, +0.01842442-0.01099991i, +0.00810606-0.05315027i, +0.01101327-0.03895107i, -0.00170029-0.01529532i, +0.01291199-0.01900747i, -0.02986301+0.01989222i, -0.02005695+0.01213124i, +0.00598750+0.00995426i, +0.03891993-0.02874953i, -0.02715091-0.00747224i, -0.01431304-0.05857656i, +0.00364506+0.01092998i, -0.02242926-0.03172762i, -0.00346297+0.01318087i, +0.02668505+0.01366312i, +0.01725300+0.01410922i, +0.03331015+0.00183227i, -0.00824746+0.03462517i, +0.01350291-0.01873561i, +0.03691917-0.00000000i, +0.01305895-0.03672032i, -0.00379117+0.00297191i, -0.00259716+0.00539336i, -0.02319525+0.03087657i, +0.00966627-0.01883082i, -0.00806541-0.02302462i, +0.03529210+0.00506594i, +0.06019498+0.00846184i, +0.03090434-0.00760325i, -0.05651864-0.00987439i, -0.02754624+0.00553573i
-0.01597880-0.02408255i, +0.01745770+0.01443432i, +0.05573126-0.01073777i, +0.04263686-0.00282372i, +0.01461152-0.00710135i, +0.02347229+0.00611918i, -0.03034815-0.02266594i, -0.01916039-0.01565789i, -0.00778277+0.00947624i, +0.04236134+0.02854110i, -0.00217175-0.02964773i, +0.05319830-0.03495549i, -0.00958179+0.00749155i, +0.02362312-0.03353106i, -0.01433479+0.00121799i, -0.00415057+0.03137421i, -0.00793055+0.02215075i, +0.00995997+0.03377885i, -0.03735595+0.00404448i, +0.02341091+0.00680307i, +0.01305895+0.03672032i, +0.04114172-0.00000000i, -0.00429690-0.00271953i, -0.00628297-0.00067545i, -0.03891483-0.01214874i, +0.02214852+0.00295342i, +0.02004774-0.01616618i, +0.00744477+0.03689393i, +0.01287574+0.06286387i, +0.01849370+0.02804849i, -0.01017042-0.05970697i, -0.01524950-0.02543980i
+0.00326074+0.00145900i, -0.00277744-0.00035356i, -0.00511087+0.00480539i, -0.00426641+0.00311327i, -0.00105664+0.00170752i, -0.00285597+0.00091246i, +0.00466786+0.00036121i, +0.00303615+0.00036880i, +0.00018645-0.00150417i, -0.00631089-0.00018073i, +0.00218658+0.00295290i, -0.00324550+0.00716729i, +0.00050553-0.00141580i, -0.00025078+0.00506356i, +0.00141664-0.00107476i, -0.00164039-0.00355113i, -0.00063592-0.00283768i, -0.00327307-0.00286955i, +0.00363417-0.00289170i, -0.00289476+0.00083697i, -0.00379117-0.00297191i, -0.00429690+0.00271953i, +0.00062854-0.00000000i, +0.00070085-0.00034477i, +0.00486737-0.00130350i, -0.00250845+0.00115559i, -0.00102521+0.00301361i, -0.00321629-0.00336115i, -0.00550016-0.00571449i, -0.00378556-0.00170697i, +0.00500894+0.00556361i, +0.00327429+0.00164896i
+0.00283558+0.00341544i, -0.00290304-0.00191773i, -0.00833473+0.00255479i, -0.00646495+0.00113122i, -0.00211482+0.00132437i, -0.00368504-0.00054913i, +0.00500675+0.00296319i, +0.00318315+0.00207663i, +0.00103297-0.00157494i, -0.00693780-0.00366319i, +0.00081840+0.00449201i, -0.00755031+0.00621163i, +0.00134029-0.00130138i, -0.00305712+0.00550854i, +0.00216915-0.00042135i, +0.00011877-0.00485947i, +0.00084745-0.00351296i, -0.00207561-0.00499503i, +0.00563843-0.00123095i, -0.00368690-0.00065458i, -0.00259716-0.00539336i, -0.00628297+0.00067545i, +0.00070085+0.00034477i, +0.00097060-0.00000000i, +0.00614235+0.00121641i, -0.00343091-0.00008741i, -0.00279619+0.00279796i, -0.00174264-0.00551204i, -0.00299839-0.00938889i, -0.00328476-0.00397981i, +0.00253342+0.00895120i, +0.00274649+0.00363469i
+0.02222524+0.01806064i, -0.02077507-0.00849795i, -0.04954392+0.02661345i, -0.03949523+0.01526112i, -0.01172368+0.01103161i, -0.02400873+0.00114317i, +0.03539851+0.01247759i, +0.02274691+0.00915250i, +0.00456327-0.01126150i, -0.04849634-0.01448737i, +0.01080888+0.02740169i, -0.03999682+0.04877237i, +0.00685098-0.00991546i, -0.01244308+0.03869179i, +0.01319923-0.00538498i, -0.00533858-0.03090163i, +0.00096039-0.02329360i, -0.01939542-0.02900941i, +0.03413968-0.01485640i, -0.02415262+0.00047817i, -0.02319525-0.03087657i, -0.03891483+0.01214874i, +0.00486737+0.00130350i, +0.00614235-0.00121641i, +0.04039588-0.00000000i, -0.02182180+0.00374668i, -0.01418890+0.02121104i, -0.01793621-0.03269859i, -0.03074188-0.05565915i, -0.02577513-0.02106930i, +0.02725079+0.05347197i, +0.02193620+0.01955979i
-0.01033094-0.01181770i, +0.01043449+0.00651745i, +0.02923192-0.00978140i, +0.02275072-0.00458089i, +0.00735629-0.00487190i, +0.01307551+0.00160925i, -0.01796494-0.01002355i, -0.01143896-0.00705392i, -0.00350956+0.00566020i, +0.02485396+0.01232404i, -0.00329746-0.01580486i, +0.02612981-0.02263710i, -0.00462054+0.00472090i, +0.01031036-0.01974716i, -0.00762966+0.00168474i, +0.00001780+0.01718816i, -0.00267926+0.01249409i, +0.00778679+0.01746975i, -0.01982012+0.00485899i, +0.01309156+0.00198183i, +0.00966627+0.01883082i, +0.02214852-0.00295342i, -0.00250845-0.00115559i, -0.00343091+0.00008741i, -0.02182180-0.00374668i, +0.01213560+0.00000000i, +0.00963213-0.01014217i, +0.00665635+0.01932730i, +0.01144439+0.03291827i, +0.01196953+0.01377222i, -0.00976137-0.03141296i, -0.01003575-0.01260073i
+0.00167674-0.01801375i, +0.00283507+0.01389343i, +0.03137629+0.01666662i, +0.02188585+0.01537772i, +0.00991037+0.00228105i, +0.00903323+0.01220495i, -0.00588187-0.02296973i, -0.00318398-0.01515871i, -0.00751601+0.00155948i, +0.00942713+0.03055306i, +0.01059148-0.01530026i, +0.03965809+0.00387039i, -0.00761278-0.00011454i, +0.02468684-0.00705674i, -0.00746372-0.00503919i, -0.01435065+0.01365726i, -0.01256832+0.00767751i, -0.00841967+0.02037358i, -0.01979222-0.01270778i, +0.00873459+0.01251409i, -0.00806541+0.02302462i, +0.02004774+0.01616618i, -0.00102521-0.00301361i, -0.00279619-0.00279796i, -0.01418890-0.02121104i, +0.00963213+0.01014217i, +0.01612128+0.00000000i, -0.01086933+0.02090319i, -0.01842750+0.03569199i, -0.00200964+0.02093450i, +0.01850529-0.03309066i, +0.00256543-0.01838855i
-0.02448750+0.00997118i, +0.01610306-0.01304327i, +0.00045569-0.05192017i, +0.00518315-0.03874566i, -0.00372413-0.01438793i, +0.00973479-0.01994153i, -0.02581736+0.02311326i, -0.01750840+0.01434876i, +0.00708952+0.00869398i, +0.03325976-0.03282298i, -0.02697965-0.00341736i, -0.02171995-0.05403103i, +0.00498420+0.00994812i, -0.02579434-0.02725167i, -0.00150171+0.01307515i, +0.02738382+0.00939933i, +0.01842866+0.01112001i, +0.03209355-0.00281920i, -0.00313282+0.03423089i, +0.01033698-0.01976274i, +0.03529210-0.00506594i, +0.00744477-0.03689393i, -0.00321629+0.00336115i, -0.00174264+0.00551204i, -0.01793621+0.03269859i, +0.00665635-0.01932730i, -0.01086933-0.02090319i, +0.03443187-0.00000000i, +0.05870323-0.00017086i, +0.02849906-0.01150877i, -0.05538273-0.00168389i, -0.02557265+0.00907158i
-0.04179847+0.01687845i, +0.02751898-0.02215770i, +0.00103455-0.08851694i, +0.00902907-0.06603214i, -0.00627791-0.02454861i, +0.01669590-0.03395020i, -0.04413096+0.03927792i, -0.02992145+0.02437646i, +0.01204385+0.01485763i, +0.05686776-0.05579518i, -0.04598092-0.00596017i, -0.03676244-0.09222582i, +0.00844824+0.01698538i, -0.04384180-0.04658964i, -0.00262516+0.02228451i, +0.04664030+0.01616089i, +0.03136403+0.01905006i, +0.05473060-0.00464723i, -0.00551104+0.05834503i, +0.01772168-0.03364239i, +0.06019498-0.00846184i, +0.01287574-0.06286387i, -0.00550016+0.00571449i, -0.00299839+0.00938889i, -0.03074188+0.05565915i, +0.01144439-0.03291827i, -0.01842750-0.03569199i, +0.05870323+0.00017086i, +0.10008456-0.00000000i, +0.04864543-0.01948000i, -0.09441420-0.00314570i, -0.04364408+0.01533932i
-0.02360101+0.00006820i, +0.01768809-0.00541343i, +0.01773137-0.04282171i, +0.01724071-0.03033711i, +0.00172669-0.01315359i, +0.01472284-0.01325166i, -0.02909443+0.01050132i, -0.01928764+0.00602424i, +0.00296201+0.00956561i, +0.03849992-0.01605040i, -0.02118866-0.01184642i, +0.00008227-0.05198102i, +0.00080026+0.00989996i, -0.01224102-0.03117775i, -0.00561330+0.01032029i, +0.01952373+0.01693275i, +0.01153646+0.01536370i, +0.02750596+0.00839376i, -0.01403461+0.02728557i, +0.01516150-0.01290240i, +0.03090434+0.00760325i, +0.01849370-0.02804849i, -0.00378556+0.00170697i, -0.00328476+0.00397981i, -0.02577513+0.02106930i, +0.01196953-0.01377222i, -0.00200964-0.02093450i, +0.02849906+0.01150877i, +0.04864543+0.01948000i, +0.02743529+0.00000000i, -0.04527713-0.01990529i, -0.02419849-0.00103911i
+0.03889985-0.01723593i, -0.02526345+0.02176727i, +0.00180619+0.08353448i, -0.00644210+0.06257483i, +0.00669381+0.02296047i, -0.01468291+0.03255149i, +0.04039617-0.03843966i, +0.02746006-0.02393584i, -0.01182848-0.01363732i, -0.05189222+0.05442145i, +0.04356317+0.00417729i, +0.03757834+0.08584525i, -0.00850346-0.01575753i, +0.04282225+0.04257211i, +0.00177602-0.02110447i, -0.04450581-0.01377936i, -0.03018583-0.01698498i, -0.05148374+0.00610414i, +0.00336500-0.05521267i, -0.01566025+0.03229336i, -0.05651864+0.00987439i, -0.01017042+0.05970697i, +0.00500894-0.00556361i, +0.00253342-0.00895120i, +0.02725079-0.05347197i, -0.00976137+0.03141296i, +0.01850529+0.03309066i, -0.05538273+0.00168389i, -0.09441420+0.00314570i, -0.04527713+0.01990529i, +0.08916398+0.00000000i, +0.04068928-0.01584202i
+0.02081400-0.00095404i, -0.01539623+0.00544470i, -0.01401756+0.03844121i, -0.01405765+0.02741095i, -0.00102479+0.01166714i, -0.01248395+0.01224586i, +0.02526416-0.01036433i, +0.01678393-0.00604403i, -0.00297485-0.00832488i, -0.03334982+0.01561496i, +0.01913752+0.00964627i, +0.00189621+0.04585145i, -0.00108080-0.00870166i, +0.01197769+0.02703580i, +0.00456016-0.00931531i, -0.01786166-0.01419557i, -0.01075730-0.01311416i, -0.02457874-0.00636168i, +0.01134538-0.02459800i, -0.01288408+0.01195442i, -0.02754624-0.00553573i, -0.01524950+0.02543980i, +0.00327429-0.00164896i, +0.00274649-0.00363469i, +0.02193620-0.01955979i, -0.01003575+0.01260073i, +0.00256543+0.01838855i, -0.02557265-0.00907158i, -0.04364408-0.01533932i, -0.02419849+0.00103911i, +0.04068928+0.01584202i, +0.02138293-0.00000000i
