+0.03081522+0.00000000i, -0.00009778+0.00034570i, +0.00004830+0.00104068i, -0.00045036+0.00036261i, +0.00054694+0.00037993i, -0.00008060+0.00047263i, +0.00074424-0.00026181i, +0.00056338-0.00017496i, -0.00005380-0.00073009i, -0.00050064+0.00022456i, +0.00038044+0.00001044i, -0.00024581+0.00117612i, -0.00044255-0.00032762i, +0.00007504+0.00063512i, +0.00046206-0.00016630i, -0.00023528-0.00030822i, -0.00061174-0.00036668i, -0.00091651-0.00008467i, +0.00014606-0.00034176i, -0.00018819+0.00048507i, -0.00064994+0.00005416i, -0.00014385+0.00059915i, -0.00002660+0.00009076i, +0.00022886-0.00011928i, +0.00071926-0.00037714i, -0.00004080+0.00027303i, -0.00005824-0.00001221i, -0.00032880-0.00013468i, -0.00085486-0.00029641i, -0.00067001+0.00027903i, +0.00082769+0.00030241i, +0.00038913-0.00007063i
-0.00061174+0.00036668i, +0.00024076-0.00029536i, -0.00035802-0.00068987i, +0.00017697-0.00031762i, -0.00030793-0.00021048i, -0.00001767-0.00017209i, -0.00011506+0.00039464i, -0.00003582+0.00044886i, +0.00058579-0.00018643i, +0.00005791-0.00061554i, -0.00034990+0.00000202i, -0.00069420-0.00041533i, +0.00018276-0.00009083i, -0.00038076+0.00009328i, +0.00030556+0.00014130i, +0.00019011+0.00013808i, +0.03049876+0.00000000i, +0.00060159-0.00031918i, +0.00053704+0.00066317i, +0.00033725-0.00083220i, +0.00032759-0.00011440i, -0.00003527-0.00045296i, +0.00029481-0.00017999i, -0.00008489-0.00018029i, +0.00003501+0.00095790i, -0.00027510-0.00032494i, -0.00056241-0.00030246i, +0.00047772-0.00035516i, +0.00112392-0.00018650i, +0.00035733-0.00009534i, -0.00106217+0.00023071i, -0.00020461+0.00049710i
-0.00091651+0.00008467i, +0.00042267+0.00014018i, +0.00007263-0.00085337i, -0.00013413-0.00083303i, -0.00010910-0.00049076i, +0.00009222-0.00051941i, -0.00046079+0.00043644i, -0.00034930+0.00027019i, +0.00014899-0.00001579i, +0.00134523-0.00138098i, -0.00043521-0.00018592i, -0.00017281-0.00103519i, +0.00005030+0.00022569i, -0.00058064-0.00062808i, +0.00001044+0.00026414i, +0.00037470+0.00037901i, +0.00060159+0.00031918i, +0.03137100-0.00000000i, +0.00054541+0.00040849i, +0.00093089-0.00038922i, +0.00117703-0.00000564i, -0.00007757-0.00108838i, -0.00029737+0.00022520i, -0.00016739+0.00019667i, -0.00041229+0.00125309i, -0.00014139-0.00045221i, +0.00009090-0.00028111i, +0.00059097+0.00057620i, +0.00120932-0.00011038i, +0.00147228-0.00003068i, -0.00097281+0.00002989i, -0.00034602+0.00012904i
+0.00014606+0.00034176i, +0.00000624-0.00033006i, -0.00109282+0.00046612i, -0.00074947+0.00014352i, -0.00027029-0.00011908i, -0.00057291-0.00022060i, +0.00032052+0.00066023i, -0.00004048+0.00016576i, +0.00035422+0.00004910i, -0.00056498-0.00066419i, +0.00049974+0.00034779i, -0.00127967+0.00079590i, +0.00010798-0.00002283i, -0.00055623+0.00062840i, +0.00017591+0.00005818i, +0.00020916-0.00055636i, +0.00053704-0.00066317i, +0.00054541-0.00040849i, +0.03109810+0.00000000i, -0.00044115-0.00020054i, -0.00019314-0.00063765i, -0.00092842-0.00008763i, -0.00017425-0.00003368i, +0.00016791+0.00008541i, +0.00071277+0.00051093i, -0.00059863-0.00010686i, -0.00033917+0.00092510i, -0.00029274-0.00053060i, +0.00001222-0.00135671i, -0.00020202-0.00050266i, -0.00063846+0.00077818i, +0.00012707+0.00034016i
-0.00018819-0.00048507i, +0.00018308+0.00034113i, +0.00039249-0.00028698i, +0.00047030+0.00012553i, +0.00014301-0.00011607i, +0.00025069+0.00005817i, -0.00033398-0.00021109i, -0.00038453+0.00005160i, -0.00004978+0.00035369i, +0.00096217+0.00012688i, -0.00009533-0.00074101i, +0.00090280-0.00086514i, -0.00012976-0.00010428i, +0.00010477-0.00070305i, -0.00027882+0.00001421i, +0.00018501+0.00037607i, +0.00033725+0.00083220i, +0.00093089+0.00038922i, -0.00044115+0.00020054i, +0.03078186+0.00000000i, +0.00007722+0.00029869i, +0.00043826-0.00028329i, -0.00044499+0.00002397i, -0.00006059-0.00027221i, -0.00065839+0.00010610i, +0.00019735-0.00024634i, +0.00039310+0.00018488i, +0.00046825+0.00061112i, +0.00007574+0.00059801i, +0.00065889+0.00048104i, -0.00026691-0.00043281i, -0.00077656-0.00049998i
-0.00064994-0.00005416i, +0.00032119-0.00039571i, +0.00026453-0.00088958i, +0.00031710-0.00075290i, +0.00027681-0.00003278i, +0.00064809-0.00073911i, -0.00020249+0.00041875i, -0.00023644+0.00020022i, +0.00010414-0.00025134i, +0.00072393-0.00064411i, -0.00056497-0.00008652i, -0.00002206-0.00119735i, -0.00006659+0.00055616i, -0.00045679-0.00048807i, -0.00001032+0.00002305i, +0.00065260+0.00025446i, +0.00032759+0.00011440i, +0.00117703+0.00000564i, -0.00019314+0.00063765i, +0.00007722-0.00029869i, +0.03123221+0.00000000i, +0.00013823-0.00075383i, -0.00087160-0.00043823i, -0.00009934+0.00021963i, -0.00026871+0.00078749i, +0.00035561-0.00058879i, -0.00019244-0.00075113i, +0.00071851+0.00004256i, +0.00178410+0.00045361i, +0.00082768-0.00021314i, -0.00088470-0.00016671i, -0.00056252+0.00013622i
-0.00014385-0.00059915i, +0.00041919+0.00027294i, +0.00096423-0.00032159i, +0.00077337-0.00018602i, +0.00040858-0.00023404i, +0.00054863+0.00028327i, -0.00079978-0.00039432i, -0.00048388-0.00022108i, -0.00036005+0.00013870i, +0.00125255+0.00064715i, -0.00005726-0.00069931i, +0.00107279-0.00083457i, -0.00031311+0.00004985i, +0.00029065-0.00052595i, -0.00006882-0.00005591i, +0.00003163+0.00061278i, -0.00003527+0.00045296i, -0.00007757+0.00108838i, -0.00092842+0.00008763i, +0.00043826+0.00028329i, +0.00013823+0.00075383i, +0.03111925+0.00000000i, -0.00076482-0.00004359i, -0.00036401+0.00019487i, -0.00063855+0.00004789i, +0.00063620-0.00001937i, +0.00036318-0.00020421i, +0.00013795+0.00106456i, +0.00018247+0.00165648i, -0.00000408+0.00103832i, -0.00022794-0.00130213i, -0.00038083-0.00060903i
-0.00002660-0.00009076i, -0.00010561+0.00005424i, -0.00020917+0.00013749i, +0.00007015-0.00007805i, -0.00007212-0.00003138i, +0.00003137-0.00017300i, +0.00007851+0.00039498i, +0.00020700-0.00019559i, -0.00013032-0.00002960i, -0.00029588+0.00014135i, +0.00006349+0.00022042i, -0.00012766+0.00005517i, +0.00012021+0.00018813i, -0.00010278-0.00006187i, -0.00016174+0.00052426i, +0.00002590-0.00020687i, +0.00029481+0.00017999i, -0.00029737-0.00022520i, -0.00017425+0.00003368i, -0.00044499-0.00002397i, -0.00087160+0.00043823i, -0.00076482+0.00004359i, +0.03048232+0.00000000i, -0.00014240-0.00028757i, +0.00008491+0.00010773i, -0.00021740+0.00016231i, +0.00028290-0.00010735i, -0.00011706-0.00019144i, -0.00003170-0.00014505i, +0.00027246-0.00008744i, +0.00023188+0.00066644i, +0.00004160-0.00016937i
+0.00022886+0.00011928i, +0.00005154+0.00005443i, -0.00003531+0.00010048i, -0.00006890+0.00032818i, -0.00028220+0.00022139i, +0.00017617-0.00005937i, +0.00017711+0.00019049i, +0.00004423+0.00040860i, -0.00019386-0.00008346i, -0.00010717-0.00013008i, +0.00017659-0.00028690i, -0.00019926+0.00015927i, +0.00004289-0.00011218i, -0.00001933+0.00010944i, -0.00016398-0.00013478i, -0.00025083+0.00019059i, -0.00008489+0.00018029i, -0.00016739-0.00019667i, +0.00016791-0.00008541i, -0.00006059+0.00027221i, -0.00009934-0.00021963i, -0.00036401-0.00019487i, -0.00014240+0.00028757i, +0.03042634+0.00000000i, +0.00021426+0.00002905i, -0.00001676+0.00000523i, -0.00000850-0.00003261i, +0.00013071+0.00024670i, +0.00001513-0.00012400i, -0.00026806+0.00017248i, +0.00014517+0.00029762i, +0.00029734+0.00026152i
+0.00071926+0.00037714i, -0.00067336-0.00007098i, -0.00120573+0.00061317i, -0.00077902+0.00037288i, -0.00014740+0.00031040i, -0.00045715-0.00007726i, +0.00079019+0.00039709i, +0.00049583+0.00016903i, -0.00018823-0.00073769i, -0.00138581-0.00028803i, +0.00043696+0.00061144i, -0.00078396+0.00121998i, +0.00009288-0.00020443i, -0.00022127+0.00052053i, +0.00016739-0.00022482i, -0.00003046-0.00066236i, +0.00003501-0.00095790i, -0.00041229-0.00125309i, +0.00071277-0.00051093i, -0.00065839-0.00010610i, -0.00026871-0.00078749i, -0.00063855-0.00004789i, +0.00008491-0.00010773i, +0.00021426-0.00002905i, +0.03193846+0.00000000i, -0.00070985-0.00002865i, +0.00034138+0.00052186i, -0.00005533-0.00104697i, -0.00065026-0.00128165i, -0.00067190-0.00095868i, +0.00081558+0.00134461i, +0.00019272+0.00056961i
-0.00004080-0.00027303i, +0.00022500+0.00018573i, +0.00059075+0.00002227i, +0.00037897-0.00007180i, +0.00028939-0.00012755i, +0.00041484-0.00006738i, -0.00031478-0.00020761i, -0.00008770-0.00025159i, -0.00019969+0.00034683i, +0.00078810-0.00048757i, +0.00006615-0.00028617i, +0.00039744-0.00044762i, -0.00008888-0.00001662i, +0.00032203-0.00021480i, -0.00012667+0.00017674i, +0.00003487+0.00037807i, -0.00027510+0.00032494i, -0.00014139+0.00045221i, -0.00059863+0.00010686i, +0.00019735+0.00024634i, +0.00035561+0.00058879i, +0.00063620+0.00001937i, -0.00021740-0.00016231i, -0.00001676-0.00000523i, -0.00070985+0.00002865i, +0.03065740+0.00000000i, +0.00067134-0.00021942i, +0.00077539+0.00052963i, +0.00028918+0.00058209i, +0.00039579+0.00029154i, -0.00034771-0.00089719i, -0.00046453-0.00037340i
-0.00005824+0.00001221i, +0.00012409+0.00052676i, +0.00095367+0.00037494i, +0.00045440+0.00044051i, +0.00022241+0.00004946i, +0.00029632+0.00038078i, -0.00001687-0.00044446i, -0.00002755-0.00002091i, -0.00014315+0.00018672i, +0.00006615+0.00053357i, +0.00031262-0.00108489i, +0.00105933+0.00050376i, +0.00002396+0.00003477i, +0.00028525+0.00003606i, -0.00010792-0.00030367i, -0.00017901+0.00036090i, -0.00056241+0.00030246i, +0.00009090+0.00028111i, -0.00033917-0.00092510i, +0.00039310-0.00018488i, -0.00019244+0.00075113i, +0.00036318+0.00020421i, +0.00028290+0.00010735i, -0.00000850+0.00003261i, +0.00034138-0.00052186i, +0.00067134+0.00021942i, +0.03119868+0.00000000i, -0.00049698+0.00054017i, -0.00057734+0.00116774i, -0.00021780+0.00050642i, +0.00047326-0.00074465i, -0.00002933-0.00055279i
-0.00032880+0.00013468i, +0.00043148-0.00021418i, -0.00007254-0.00111004i, +0.00034777-0.00073029i, -0.00014294-0.00022642i, +0.00032199-0.00042197i, -0.00063331+0.00068969i, -0.00020362+0.00041922i, +0.00013924+0.00024318i, +0.00045344-0.00092921i, -0.00085822+0.00004967i, -0.00070937-0.00180683i, +0.00013680+0.00009726i, -0.00060288-0.00089824i, +0.00009359+0.00031142i, +0.00068903+0.00004427i, +0.00047772+0.00035516i, +0.00059097-0.00057620i, -0.00029274+0.00053060i, +0.00046825-0.00061112i, +0.00071851-0.00004256i, +0.00013795-0.00106456i, -0.00011706+0.00019144i, +0.00013071-0.00024670i, -0.00005533+0.00104697i, +0.00077539-0.00052963i, -0.00049698-0.00054017i, +0.03154897+0.00000000i, +0.00102049+0.00013821i, +0.00075075-0.00042871i, -0.00129754+0.00007973i, -0.00057507+0.00036948i
-0.00085486+0.00029641i, +0.00038289-0.00043848i, -0.00001892-0.00188595i, +0.00039895-0.00127853i, +0.00002486-0.00073861i, +0.00021601-0.00060565i, -0.00104426+0.00091315i, -0.00056225+0.00056270i, +0.00043491+0.00038952i, +0.00146217-0.00129820i, -0.00082977-0.00013793i, -0.00072099-0.00189309i, +0.00014791-0.00028428i, -0.00092644-0.00113368i, -0.00032251+0.00031940i, +0.00119416+0.00022976i, +0.00112392+0.00018650i, +0.00120932+0.00011038i, +0.00001222+0.00135671i, +0.00007574-0.00059801i, +0.00178410-0.00045361i, +0.00018247-0.00165648i, -0.00003170+0.00014505i, +0.00001513+0.00012400i, -0.00065026+0.00128165i, +0.00028918-0.00058209i, -0.00057734-0.00116774i, +0.00102049-0.00013821i, +0.03248373+0.00000000i, +0.00121497-0.00048765i, -0.00235935-0.00034924i, -0.00106721+0.00048498i
-0.00067001-0.00027903i, +0.00044992-0.00036885i, +0.00020227-0.00085415i, +0.00043346-0.00055904i, +0.00036955-0.00044110i, +0.00012556-0.00024504i, -0.00058804+0.00026789i, -0.00029384-0.00004288i, +0.00018243+0.00006083i, +0.00097350-0.00063401i, -0.00041040-0.00011824i, +0.00011306-0.00115835i, +0.00010511+0.00040877i, -0.00050099-0.00130464i, -0.00002909+0.00025737i, +0.00047049+0.00054565i, +0.00035733+0.00009534i, +0.00147228+0.00003068i, -0.00020202+0.00050266i, +0.00065889-0.00048104i, +0.00082768+0.00021314i, -0.00000408-0.00103832i, +0.00027246+0.00008744i, -0.00026806-0.00017248i, -0.00067190+0.00095868i, +0.00039579-0.00029154i, -0.00021780-0.00050642i, +0.00075075+0.00042871i, +0.00121497+0.00048765i, +0.03162535+0.00000000i, -0.00144961-0.00024910i, -0.00100085-0.00011771i
+0.00082769-0.00030241i, -0.00055272+0.00059723i, -0.00032655+0.00211241i, +0.00001365+0.00130043i, +0.00035590+0.00075042i, -0.00033225+0.00066929i, +0.00065024-0.00075913i, +0.00029564-0.00069255i, -0.00020028-0.00037732i, -0.00127818+0.00117214i, +0.00103925+0.00027546i, +0.00046864+0.00167904i, -0.00000953-0.00025530i, +0.00094532+0.00092872i, -0.00007499-0.00111421i, -0.00092792-0.00048635i, -0.00106217-0.00023071i, -0.00097281-0.00002989i, -0.00063846-0.00077818i, -0.00026691+0.00043281i, -0.00088470+0.00016671i, -0.00022794+0.00130213i, +0.00023188-0.00066644i, +0.00014517-0.00029762i, +0.00081558-0.00134461i, -0.00034771+0.00089719i, +0.00047326+0.00074465i, -0.00129754-0.00007973i, -0.00235935+0.00034924i, -0.00144961+0.00024910i, +0.03294176+0.00000000i, +0.00151680-0.00044815i
+0.00038913+0.00007063i, -0.00018356+0.00027661i, -0.00027271+0.00091125i, -0.00042518+0.00063564i, -0.00010942+0.00006029i, -0.00018592+0.00036126i, +0.00046325-0.00019662i, +0.00034290-0.00001735i, -0.00012919-0.00028097i, -0.00078384+0.00036449i, +0.00043897+0.00011297i, -0.00032612+0.00107165i, +0.00008815-0.00012621i, +0.00011463+0.00055916i, +0.00021451-0.00019271i, -0.00016957-0.00091121i, -0.00020461-0.00049710i, -0.00034602-0.00012904i, +0.00012707-0.00034016i, -0.00077656+0.00049998i, -0.00056252-0.00013622i, -0.00038083+0.00060903i, +0.00004160+0.00016937i, +0.00029734-0.00026152i, +0.00019272-0.00056961i, -0.00046453+0.00037340i, -0.00002933+0.00055279i, -0.00057507-0.00036948i, -0.00106721-0.00048498i, -0.00100085+0.00011771i, +0.00151680+0.00044815i, +0.03098620+0.00000000i
